score,Borough,Largest Property Use Type,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²)
65,Brooklyn,Multifamily Housing,102924,1956,1,100,73.2,3.9,0.6,,5.939644798,
65,Brooklyn,Multifamily Housing,58000,1934,1,100,75.5,3,0.7,84.65,5.451467546,4.438525109
93,Manhattan,Multifamily Housing,62366,1925,1,100,67.6,2.7,0.1,49.37,5.707774496,3.899342952
100,Queens,Multifamily Housing,74000,1941,1,100,47.3,0.6,0.5,34.39,5.335613151,3.537765824
91,Queens,Multifamily Housing,74118,1954,1,100,69.3,3.2,0.6,52.7,5.478553417,3.964615456
82,Manhattan,Multifamily Housing,69906,1922,1,100,63.9,3.9,0.5,41.32,5.382658515,3.721346644
98,Queens,Multifamily Housing,60186,1941,1,100,66.1,3.1,0.6,45.59,5.321545493,3.819688394
89,Queens,Multifamily Housing,66795,1942,1,100,62.2,3,0.6,35.53,5.364573162,3.57037741
100,Brooklyn,Multifamily Housing,75000,1931,1,100,51.8,2.5,0.5,29.09,5.299316867,3.370394473
100,Bronx,Multifamily Housing,69969,1926,1,100,20,3.4,0.1,,3.538056564,
100,Brooklyn,Multifamily Housing,106392,1937,1,100,55.9,2.7,0.5,39.15,5.725543966,3.667400422
99,Brooklyn,Multifamily Housing,94252,1940,1,100,68.1,2.7,0.6,35.4,5.83305481,3.56671182
47,Manhattan,Multifamily Housing,266776,1987,1,100,75.6,9.3,0.4,40.79,6.204759762,3.708436953
65,Queens,Multifamily Housing,108384,1941,1,100,69.8,5.2,0.5,44.92,5.870990394,3.80488313
99,Brooklyn,Multifamily Housing,70000,1939,1,100,63.9,2.8,0.6,37.92,5.457881936,3.635478677
100,Brooklyn,Multifamily Housing,54000,1940,1,100,62.5,2.8,0.6,33.22,5.169346985,3.503152104
64,Brooklyn,Multifamily Housing,70374,1927,1,100,97.3,5.5,0.8,,5.829827582,
79,Queens,Multifamily Housing,104887,1955,1,100,75.4,3.5,0.6,50.52,5.974318388,3.922369297
84,Brooklyn,Multifamily Housing,144128,1961,1,100,60.9,3.8,0.5,32.27,5.997446619,3.474138006
86,Queens,Multifamily Housing,106800,1951,1,100,77.9,4.1,0.7,49.37,5.920773806,3.899342952
99,Brooklyn,Multifamily Housing,54822,1932,1,100,63.8,2.9,0.6,48.37,5.202356975,3.878879787
100,Brooklyn,Multifamily Housing,66150,1936,1,100,52.9,2.5,0.5,31.92,5.196284641,3.463232773
99,Queens,Multifamily Housing,93936,1937,1,100,65.4,3.1,0.6,36.93,5.750347944,3.609024229
93,Queens,Multifamily Housing,124600,1949,1,100,80.3,3.3,0.7,,6.29156914,
98,Brooklyn,Multifamily Housing,112140,1938,1,100,68.3,3.2,0.6,35.67,5.98670323,3.574309999
90,Queens,Multifamily Housing,70569,1938,1,100,57.7,2.9,0.5,37.77,5.335613151,3.631515137
97,Manhattan,Multifamily Housing,126785,1911,1,100,62.1,3.8,0.5,,5.796361656,
100,Brooklyn,Multifamily Housing,106000,1941,1,100,57.2,2.9,0.5,48.34,5.735281142,3.878259375
55,Bronx,Multifamily Housing,52800,1940,1,100,83.9,4.1,0.8,140.34,5.423627558,4.94406805
4,Manhattan,Multifamily Housing,66190,1923,1,100,134.2,11.3,0.4,132.39,6.165837934,4.885752112
94,Manhattan,Multifamily Housing,211041,1940,1,100,51.6,3.6,0.4,31.14,6.083131736,3.438493166
40,Bronx,Multifamily Housing,112390,1983,1,100,81.7,6.4,0.6,38.67,5.612397913,3.655064106
98,Manhattan,Multifamily Housing,106763,1924,1,100,59.1,3.2,0.5,30.02,5.604698516,3.401863826
54,Bronx,Multifamily Housing,407920,1960,1,100,100.5,3.4,0.2,50.96,7.866683956,3.931041011
19,Manhattan,Multifamily Housing,64650,1901,1,100,157.3,11.6,1.2,,6.026107491,
57,Bronx,Multifamily Housing,400180,1960,1,100,97.4,3.6,0.3,63.44,7.793586803,4.150094577
11,Manhattan,Multifamily Housing,73764,1900,1,100,115.3,10.4,0.9,,5.736249665,
56,Manhattan,Multifamily Housing,146072,1959,1,100,89.4,,,,6.272310809,
54,Manhattan,Office,116100,1927,1,100,85.4,,,19.72,5.224670826,2.981633349
85,Manhattan,Office,150603,1900,1,100,62.1,,,17.07,5.23324537,2.837322537
100,Queens,Multifamily Housing,51150,1939,1,100,9.6,1.4,0,121.39,2.58021683,4.799008503
93,Manhattan,Multifamily Housing,114696,1926,1,100,71,4.1,0.6,,5.841803773,
92,Manhattan,Multifamily Housing,248963,1931,1,100,70.5,4.1,0.6,28.48,6.612041035,3.349202087
58,Bronx,Multifamily Housing,404890,1960,1,100,97.4,3.6,0.2,54.09,7.824445931,3.990649326
39,Manhattan,Multifamily Housing,62095,1907,1,100,81.4,4.7,0,,5.850476854,
95,Bronx,Office,113280,1987,1,100,69.7,5,0.6,,5.750347944,
54,Bronx,Multifamily Housing,673920,1970,1,100,62.1,6.3,0.4,,7.269407814,
19,Bronx,Multifamily Housing,115776,1961,1,100,95.9,11,0.6,,5.884157694,
99,Bronx,Office,53285,1959,1,100,32,5.4,0.1,,3.634951112,
73,Bronx,Multifamily Housing,209920,1953,1,100,75.4,3.7,0.7,46.76,6.627512136,3.845028137
86,Manhattan,Multifamily Housing,63943,1924,1,100,73.9,,,32.07,5.785976712,3.467921014
33,Queens,Multifamily Housing,70660,1937,1,100,98.3,5,0.1,,6.033326001,
53,Queens,Senior Care Community,53770,1960,1,100,128.5,13.9,0.8,53.96,6.086092676,3.988243031
87,Bronx,Multifamily Housing,52200,1923,1,100,71.2,4.6,0.1,,5.328361488,
60,Bronx,Multifamily Housing,52200,1923,1,100,93.7,5.2,0.1,142.01,5.65459223,4.955897478
46,Brooklyn,Multifamily Housing,127009,1975,1,100,80.5,5,0.7,63.41,6.143756357,4.149621578
54,Bronx,Multifamily Housing,84000,1926,1,100,88,3.2,0.4,11.3,6.117876909,2.424802726
43,Bronx,Multifamily Housing,96923,1929,1,100,96.6,3.9,0.9,174.18,6.148040854,5.160089247
87,Brooklyn,Multifamily Housing,72310,1940,1,100,63.1,3.4,0.5,,5.374352053,
70,Brooklyn,Multifamily Housing,113700,1931,1,100,58,5.2,0.5,474.1,5.583120298,6.16141827
69,Brooklyn,Multifamily Housing,75036,1928,1,100,78.9,3.2,0.7,81.66,5.695078034,4.402564286
82,Brooklyn,Multifamily Housing,50059,1931,1,100,70.3,3.5,0.6,132.93,5.137561588,4.889822674
63,Brooklyn,Multifamily Housing,91078,1929,1,100,81.6,3.5,0.8,47.48,5.914583503,3.86030857
34,Bronx,Senior Care Community,188760,1974,1,100,191.3,9.9,1.6,88.94,7.365180126,4.487961985
15,Manhattan,Multifamily Housing,71890,1941,1,100,153.7,5.5,0.6,40.82,6.50174002,3.709172157
89,Queens,Multifamily Housing,113136,1963,1,100,73,4.6,0.6,59.64,5.881370624,4.08832649
44,Queens,Multifamily Housing,61769,1959,1,100,81.8,8.3,0.6,61.27,5.218732887,4.115290327
61,Queens,Multifamily Housing,269383,1959,1,100,101.3,4.4,0.9,101.49,7.137198943,4.619960271
51,Queens,Multifamily Housing,313120,1958,1,100,111,4.6,1,99.32,7.410347098,4.598346961
36,Queens,Multifamily Housing,75642,1939,1,100,130.5,7.3,1.1,,6.092440464,
86,Queens,Multifamily Housing,95040,1961,1,100,79.9,4.6,0.7,63.37,5.820379622,4.148990563
94,Queens,Multifamily Housing,100947,1963,1,100,63.1,4,0.5,61.24,5.620038481,4.114800571
61,Queens,Multifamily Housing,341305,1969,1,100,91,5,0.8,,7.244156084,
15,Queens,Multifamily Housing,119287,1964,1,100,139,5.9,1.1,60.97,6.668736379,4.11038194
25,Queens,Multifamily Housing,109057,1966,1,100,118.9,6,0.9,58.06,6.389233449,4.061476959
6,Manhattan,Multifamily Housing,431350,2007,1,100,81.5,11.4,0.5,,6.952346162,
3,Manhattan,Multifamily Housing,133851,2003,1,100,83.7,13.3,0.4,26.9,5.675040006,3.292126287
88,Brooklyn,Multifamily Housing,84000,1921,1,100,69.8,3.7,0.6,34.67,5.439816929,3.54587476
25,Manhattan,Office,59152,1918,1,100,75,16.3,0,4.69,4.566429358,1.545432582
98,Manhattan,Multifamily Housing,65736,1920,1,100,67.7,0.7,0.2,12.6,5.675725877,2.533696814
92,Brooklyn,Multifamily Housing,64350,1952,1,100,60.1,4.2,0.5,,5.047288612,
100,Manhattan,Office,78750,1901,1,100,17.2,3.1,0.1,34.5,3.295836866,3.540959324
56,Manhattan,Multifamily Housing,62244,1921,1,100,107.8,2.1,0.2,160.55,6.081533744,5.078605421
77,Manhattan,Multifamily Housing,187368,1991,1,100,56.1,6,0.4,24.48,5.860501283,3.197856458
43,Queens,Multifamily Housing,553520,1963,1,100,90.2,,,35.04,7.6354005,3.556490266
99,Manhattan,Multifamily Housing,170424,1880,1,100,31.2,7.4,0.1,,3.819907717,
57,Queens,Multifamily Housing,52080,1939,1,100,94.8,3.8,0.9,63.51,5.512218336,4.151197374
55,Queens,Multifamily Housing,85585,1940,1,100,81.1,4.1,0.7,,5.746841964,
47,Queens,Multifamily Housing,103200,1938,1,100,89.2,3.8,0.8,43.27,6.048317359,3.767459554
22,Brooklyn,Multifamily Housing,69906,1935,1,100,96.5,5.8,0.8,47.36,5.616771098,3.857777991
72,Queens,Multifamily Housing,110184,1939,1,100,76.2,4.4,0.7,34.98,5.970751506,3.55477647
5,Queens,Multifamily Housing,52800,1930,1,100,115.2,7.5,1,67.35,5.517051209,4.209902903
16,Queens,Multifamily Housing,79000,1941,1,100,116.7,4.4,0.1,,6.378595949,
82,Queens,Multifamily Housing,88200,1932,1,100,73.6,3.5,0.7,49.69,5.753841675,3.905803706
69,Queens,Multifamily Housing,87376,1929,1,100,84.2,5.1,0.1,99.91,6.063785209,4.604269781
45,Queens,Multifamily Housing,89367,1920,1,100,102.4,4.5,0.1,88.38,6.330077348,4.4816457
45,Brooklyn,Multifamily Housing,71250,1940,1,100,104.4,4.3,1,78.98,5.918356075,4.369194656
85,Queens,Multifamily Housing,64032,1940,1,100,72.5,3.1,0.7,28.64,5.438948496,3.354804342
75,Manhattan,Multifamily Housing,137628,1880,1,100,56,5.6,0.4,,5.84151337,
15,Manhattan,Multifamily Housing,243671,1925,1,100,81.2,8.7,0.2,,6.739928168,
83,Manhattan,Multifamily Housing,164073,1980,1,100,56.6,6.4,0,38.68,6.055846806,3.655322671
12,Manhattan,Multifamily Housing,514093,2003,1,100,94.3,14.1,0.5,,7.173651759,
58,Bronx,Multifamily Housing,65400,1931,1,100,86.9,3.7,0.8,91.91,5.700109069,4.520809837
22,Manhattan,Multifamily Housing,560525,1963,1,100,101,7.7,0.6,,7.454951404,
81,Manhattan,Multifamily Housing,221805,2004,1,100,55.3,7.5,0.3,,5.957649199,
85,Manhattan,Multifamily Housing,106704,1916,1,100,66.9,3.8,0,29.73,6.127087501,3.392156637
23,Manhattan,Multifamily Housing,139566,1959,1,100,107.7,6.6,0.2,50.53,6.790097236,3.922567219
82,Manhattan,Multifamily Housing,67518,1910,1,100,73.6,3.7,0.6,37.6,5.48022217,3.62700405
61,Manhattan,Multifamily Housing,138633,1920,1,100,93.2,5.9,0.7,36.36,6.351583553,3.593469269
100,Manhattan,Multifamily Housing,69485,1909,1,100,32.8,3,0,32.96,4.804021045,3.495294705
38,Manhattan,Multifamily Housing,114407,1984,1,100,86.7,8.4,0,59.69,6.204153641,4.089164502
7,Manhattan,Multifamily Housing,202428,1959,1,100,92.1,9,0.7,45.52,6.545636975,3.81815179
75,Manhattan,Multifamily Housing,84612,1918,1,100,76.7,3.5,0.7,30.54,5.79848641,3.4190373
48,Manhattan,Multifamily Housing,138304,1972,1,100,82.8,5.7,0.7,46.08,6.169401506,3.830379016
2,Manhattan,Multifamily Housing,326763,1964,1,100,119.2,11,0,,4.007333185,
17,Manhattan,Multifamily Housing,174625,1905,1,100,75.2,13.6,0.3,30.08,5.536940489,3.403860499
7,Manhattan,Multifamily Housing,102024,1890,1,100,82.6,17.9,0.2,57.97,4.917788744,4.059925635
9,Manhattan,Multifamily Housing,96699,1964,1,100,122.5,8.2,0,53.93,6.560323202,3.987686909
71,Manhattan,Multifamily Housing,69649,1928,1,100,73.7,3.4,0,,5.816515745,
31,Manhattan,Multifamily Housing,61433,1962,1,100,52.6,8.1,0.3,42.24,4.375757022,3.743367639
12,Manhattan,Multifamily Housing,59544,1928,1,100,107.5,8.9,0,36.9,5.878575765,3.608211551
71,Manhattan,Multifamily Housing,186737,1978,1,100,39.4,11.3,0,35.43,3.214867803,3.567558919
100,Manhattan,Multifamily Housing,160203,1916,1,100,17.8,4.4,0,,2.980618636,
76,Manhattan,Multifamily Housing,77008,1924,1,100,66.1,3.4,0.5,42.65,5.460861296,3.753027274
85,Manhattan,Multifamily Housing,62824,1964,1,100,60.2,4.3,0.5,29.17,5.130490256,3.373140784
98,Manhattan,Multifamily Housing,165372,1929,1,100,45.1,3.1,0.1,23.82,6.077642243,3.170525564
55,Manhattan,Multifamily Housing,57280,1875,1,100,47.4,8.4,0.2,26.2,4.160444364,3.265759411
38,Manhattan,Multifamily Housing,182767,1975,1,100,87,8.6,0.1,71.94,6.55592572,4.275832438
84,Manhattan,Office,100750,1915,1,100,52.8,11.2,,11.49,,2.441477092
30,Queens,Senior Care Community,87630,1975,1,100,172.6,12.7,1.3,91.58,6.384857074,4.517212907
61,Queens,Multifamily Housing,115212,1954,1,100,90.9,5.1,0.8,47.55,6.097849538,3.861781789
28,Queens,Multifamily Housing,500710,1957,1,100,125.5,5.1,0.1,65.92,8.293499489,4.188441886
41,Queens,Multifamily Housing,830280,1964,1,100,93.9,5.5,,68.12,8.105881023,4.221270856
16,Manhattan,Multifamily Housing,86182,1930,1,100,90.8,6.9,0.7,256.5,5.720639592,5.547128665
29,Manhattan,Multifamily Housing,93999,1930,1,100,82.9,6.3,0.7,25.2,5.71538161,3.226843995
23,Manhattan,Multifamily Housing,88181,1930,1,100,88.9,6.7,0.7,27.75,5.722931293,3.32323584
38,Manhattan,Multifamily Housing,102422,1931,1,100,76.5,5.8,0.6,,5.723585102,
97,Manhattan,Multifamily Housing,179213,1931,1,100,44.2,3.3,0.4,,5.73204594,
56,Bronx,Multifamily Housing,60879,1928,1,100,87.8,3.4,0.8,94.85,5.656690867,4.552296696
22,Bronx,Multifamily Housing,50338,1929,1,100,123,4.1,0.1,,6.16141827,
57,Bronx,Multifamily Housing,84300,1923,1,100,88,3.7,0.8,,5.970496241,
85,Manhattan,Multifamily Housing,54305,1924,1,100,75.3,3.4,0.7,73.94,5.372496765,4.303253954
65,Manhattan,Multifamily Housing,65058,1929,1,100,86.1,5,0.7,79.14,5.627621114,4.371218436
61,Bronx,Multifamily Housing,53664,1949,1,100,87.5,3.7,0.8,,5.509388337,
45,Bronx,Multifamily Housing,67794,1931,1,100,97.9,3.2,0.1,,6.231661853,
77,Bronx,Multifamily Housing,66000,1929,1,100,84.1,4.1,0.7,102.86,5.65459223,4.63336884
45,Bronx,Multifamily Housing,54375,1929,1,100,101.2,3.8,0.1,,6.021508668,
83,Bronx,Multifamily Housing,66000,1935,1,100,68.8,3,0.6,70.51,5.471009374,4.255754544
39,Queens,Multifamily Housing,56400,1928,1,100,95.6,3.8,,,5.998688392,
57,Bronx,Multifamily Housing,56685,1927,1,100,91,4.2,0.4,98,5.771441123,4.584967479
81,Bronx,Multifamily Housing,72110,1923,1,100,69,3.9,0.6,,5.506550305,
71,Manhattan,Office,141408,1932,1,100,91.7,13.4,0.2,29.51,6.042870335,3.384729189
98,Manhattan,Office,82354,1922,1,100,41.8,6.2,0,27.06,4.813809051,3.298056623
45,Manhattan,Office,75655,1915,1,100,130.6,14.6,0,24.02,6.123807734,3.178886817
72,Manhattan,Office,163763,1971,1,100,79.9,14.3,,,,
100,Bronx,Multifamily Housing,136770,1938,1,100,22.7,3.2,0.1,112.41,4.399375273,4.722152901
52,Bronx,Multifamily Housing,87780,1932,1,100,86,3.9,0.8,100.77,5.975335165,4.612840692
36,Bronx,Multifamily Housing,61000,1925,1,100,97.8,4.5,0.9,,5.735604087,
23,Bronx,Multifamily Housing,77748,1949,1,100,109.9,5.2,0.9,208.29,6.090404495,5.338931339
49,Bronx,Multifamily Housing,55000,1933,1,100,74.2,5.7,0.6,109.38,5.216022124,4.694828058
70,Manhattan,Multifamily Housing,76584,1928,1,100,77.7,,,,5.836855429,
83,Manhattan,Office,54935,1925,1,100,75.6,8.3,0.5,8.61,4.89858579,2.152924318
62,Queens,Multifamily Housing,387200,1960,1,100,99.6,4.9,,,7.473125905,
86,Manhattan,Multifamily Housing,54774,1939,1,100,69.8,,,37.06,5.10291057,3.612538221
13,Manhattan,Hotel,62918,1989,1,100,110.7,27.6,0.1,,3.908014984,
94,Manhattan,Multifamily Housing,243000,1930,1,100,65.9,4.8,0.6,,6.651184202,
70,Manhattan,Multifamily Housing,390628,1961,1,100,77.6,4.8,0.7,45.11,7.140690733,3.809103951
32,Manhattan,Multifamily Housing,234015,1907,1,100,74,17.6,0.2,,5.156177599,
2,Manhattan,Multifamily Housing,161973,1989,1,100,124.3,11.4,0.9,,6.484635236,
94,Manhattan,Multifamily Housing,89400,1942,1,100,52.3,4.5,0,29.61,5.482304203,3.388112142
77,Manhattan,Multifamily Housing,1015671,1987,1,100,56.9,8.3,0,,5.093136516,
63,Manhattan,Multifamily Housing,62772,1959,1,100,139.1,12,0,31.17,6.146329258,3.439456094
22,Manhattan,Multifamily Housing,103004,1961,1,100,113,8.4,0,,6.477587558,
29,Manhattan,Multifamily Housing,94773,2007,1,100,77.8,9.8,0.5,36.71,5.394990254,3.603049198
32,Manhattan,Multifamily Housing,166965,1999,1,100,80.6,9.5,0.5,,5.897153868,
72,Manhattan,Multifamily Housing,61779,1923,1,100,85.9,3.6,0,,5.82334171,
100,Manhattan,Multifamily Housing,64776,1914,1,100,18.6,5,0,22.07,1.410986974,3.09421922
61,Manhattan,Multifamily Housing,104667,1924,1,100,79.3,6.1,0.6,30.8,5.777652323,3.42751469
74,Manhattan,Multifamily Housing,95117,1929,1,100,79,4.3,0,37.85,6.120736883,3.63363098
87,Manhattan,Multifamily Housing,109500,1910,1,100,54.9,5.4,0.4,33.43,5.33753808,3.5094537
13,Manhattan,Multifamily Housing,127666,1913,1,100,104.1,13.3,0.6,,6.006106824,
63,Manhattan,Multifamily Housing,64968,1925,1,100,89.7,3.9,0,39.91,5.91215074,3.686626919
98,Manhattan,Multifamily Housing,159770,1927,1,100,56.8,3.3,0.5,,6.010040933,
25,Manhattan,Multifamily Housing,142836,1916,1,100,106.3,10.5,0.6,,6.286742696,
38,Manhattan,Multifamily Housing,214870,2003,1,100,58.5,11.7,0.2,37.83,5.315174484,3.633102439
31,Manhattan,Multifamily Housing,120034,1960,1,100,103.9,15.4,0.5,,5.777652323,
33,Manhattan,Financial Office,125632,1915,1,100,136.4,25.6,,,6.067962518,
97,Manhattan,Office,126383,1914,1,100,43.2,8.3,0.2,,4.608165695,
65,Manhattan,Office,141355,1931,1,100,141.2,8.9,0.4,23.63,6.956926323,3.162517091
74,Manhattan,Multifamily Housing,236789,1903,1,100,95.3,5.4,0,80.02,7.264730178,4.382276603
9,Manhattan,Hotel,110286,1969,1,100,146.4,20.5,0.8,,6.909054435,
73,Bronx,Multifamily Housing,72800,1953,1,100,75.7,3.8,0.7,32.12,5.616771098,3.469478889
86,Bronx,Multifamily Housing,130570,1961,1,100,66.4,3.4,0.5,28.11,5.928258471,3.336125385
30,Manhattan,Multifamily Housing,109012,1927,1,100,76.1,5.6,0.6,29.74,5.80121162,3.392492941
80,Queens,Multifamily Housing,159872,2007,1,100,44.8,9.4,0.1,44.01,4.387014176,3.784416881
76,Bronx,Multifamily Housing,92180,1940,1,100,81.1,3.9,0.4,63.55,5.953503041,4.151826998
77,Bronx,Multifamily Housing,120650,1954,1,100,66.1,4,0.5,,5.812935789,
69,Manhattan,Multifamily Housing,106464,1937,1,100,87.6,4.2,0.2,48.07,6.273254294,3.872658282
63,Manhattan,Multifamily Housing,158505,1945,1,100,81.1,7.7,0,,6.445243515,
87,Manhattan,Multifamily Housing,235448,1948,1,100,42.5,4.5,,,,
97,Manhattan,Multifamily Housing,74013,1917,1,100,58.6,3.7,,23.13,5.707442435,3.141130476
1,Manhattan,Multifamily Housing,190037,2005,1,100,141.3,15.8,1,38.04,6.681356435,3.638638238
36,Brooklyn,Multifamily Housing,559464,1979,1,100,106.5,8.5,0.8,109.16,7.788211558,4.692814696
77,Manhattan,Multifamily Housing,82662,1925,1,100,70.8,4.1,0.6,18.81,5.549853992,2.934388643
55,Manhattan,Multifamily Housing,82608,1941,1,100,66.1,7.6,0.4,30.08,5.160777953,3.403860499
94,Queens,Multifamily Housing,106364,1937,1,100,52.1,2.4,0.5,22.72,5.658087515,3.123245594
65,Bronx,Multifamily Housing,56178,1933,1,100,86.8,3.4,0.8,98.43,5.559527119,4.589345636
64,Brooklyn,Multifamily Housing,60800,1986,1,100,82.4,4.8,0.7,43.15,5.3499606,3.764682418
97,Manhattan,Multifamily Housing,136843,1920,1,100,55.7,3.4,0,33.44,6.172326706,3.509752788
25,Queens,Multifamily Housing,189500,1972,2,100,113.8,6.8,1,83.61,7.502903669,4.42616313
24,Queens,Office,88428,1990,1,100,95.1,19.5,0.2,22.03,5.489350864,3.092405161
90,Bronx,Multifamily Housing,66000,2003,1,100,92.3,4.6,0.8,,5.583120298,
56,Brooklyn,Multifamily Housing,77500,1956,1,100,82.6,5.5,0.7,,5.566434284,
51,Bronx,Multifamily Housing,60269,1923,1,100,98.1,3.1,0.9,,5.651084686,
59,Brooklyn,Multifamily Housing,167760,1952,1,100,89.6,5.1,0.8,40.65,6.460373828,3.704998836
53,Manhattan,K-12 School,58306,1915,1,100,65,9.8,0.4,,4.786658062,
54,Manhattan,Office,132121,1907,1,100,123.8,15.1,0,8.91,6.610696045,2.187174241
59,Manhattan,Office,140898,1925,1,100,122.6,13.2,0,13.08,6.745589228,2.571084346
98,Manhattan,Office,145437,1913,1,100,81.1,0.8,0,40.21,6.805057881,3.694115721
52,Manhattan,Office,126784,1913,1,100,127.5,14.5,,,6.640006544,
87,Brooklyn,Multifamily Housing,62436,1930,1,100,57.4,3.3,0.5,49.56,5.208939555,3.903184057
53,Brooklyn,Multifamily Housing,51300,1930,1,100,79.8,3.8,0.7,,5.294309345,
84,Brooklyn,Multifamily Housing,102000,1928,1,100,69.1,2.5,0.6,57.74,5.885548322,4.055950174
75,Brooklyn,Multifamily Housing,67426,1927,1,100,80.8,3.7,0.7,67.52,5.588745665,4.21242385
60,Brooklyn,Multifamily Housing,106248,1940,1,100,86,3.3,0.8,59.23,6.130574103,4.08142817
88,Bronx,Multifamily Housing,82500,1929,1,100,65.2,2.9,,19.47,5.915932484,2.968874819
76,Brooklyn,Multifamily Housing,58332,1926,1,100,83.3,3.5,0.8,51.82,5.485211785,3.947776175
81,Bronx,Multifamily Housing,50929,1928,1,100,68.7,3.3,,,5.130490256,
88,Brooklyn,Multifamily Housing,69000,1935,1,100,74.4,3,0.7,64.27,5.550242719,4.163092959
91,Brooklyn,Multifamily Housing,57601,1935,1,100,65.6,2.3,0.6,32.63,5.26217192,3.485232111
86,Bronx,Multifamily Housing,77450,1960,1,100,60.7,3.3,0.5,47.36,5.405825574,3.857777991
89,Manhattan,Multifamily Housing,170100,1983,1,100,58.8,4.5,0.5,75.86,6.155282632,4.328889536
70,Manhattan,Multifamily Housing,77000,1985,1,100,76.6,5.7,0.6,4.7,5.637998734,1.547562509
99,Manhattan,Office,102805,1912,1,100,74.3,0.6,0,10.81,6.359573869,2.380471632
54,Manhattan,Office,91554,1916,1,100,120.3,13.6,0,26.51,6.243778476,3.27752202
60,Manhattan,Office,70217,1915,1,100,113.4,11.8,0,72.51,5.978379308,4.283724483
18,Manhattan,Office,64405,1910,1,100,171.4,20.4,0.3,35.28,6.140100046,3.563316231
57,Manhattan,Office,88560,1912,1,100,117.7,13,0,9.22,6.21080086,2.221375038
67,Manhattan,Office,121579,1923,1,100,112.7,11.6,0,7.95,6.527372951,2.073171929
54,Brooklyn,Multifamily Housing,66076,1928,1,100,90.7,4.2,0.8,,5.675383,
78,Brooklyn,Multifamily Housing,98681,1941,1,100,71.8,3.3,0.7,45.2,5.84325452,3.811097087
90,Manhattan,Multifamily Housing,167453,1900,1,100,63.5,3.8,0.5,,6.293604105,
38,Manhattan,Multifamily Housing,81789,1969,1,100,84.1,8.3,0,,3.523415014,
1,Manhattan,Multifamily Housing,759187,1923,1,100,157.6,12.3,0.1,,8.257126286,
14,Manhattan,Multifamily Housing,196650,1925,1,100,114.3,6.5,0,,3.758871826,
61,Brooklyn,Multifamily Housing,163000,1959,1,100,87.8,4.5,0.8,42.7,6.358881588,3.75419892
54,Manhattan,Multifamily Housing,98246,1928,1,100,65.2,10.9,0,19.96,1.064710737,2.993730271
98,Staten Island,Multifamily Housing,171935,1984,1,100,57.9,2.9,0.5,,6.538429217,
72,Manhattan,Multifamily Housing,170106,1958,1,100,68.8,8.5,0,,1.667706821,
82,Manhattan,Multifamily Housing,218064,1958,1,100,62.5,6.2,0,,2.219203484,
24,Manhattan,Multifamily Housing,98359,1931,1,100,94.4,8.7,0,45.08,6.148468296,3.808438689
50,Manhattan,Multifamily Housing,67409,1930,1,100,88.2,14.4,0.4,,4.943782987,
98,Manhattan,Multifamily Housing,120010,1906,1,100,29.1,7.4,0,27.44,2.985681938,3.312001803
100,Brooklyn,Multifamily Housing,148680,1948,1,100,61,2.5,0.6,20.07,6.292864596,2.999226163
97,Brooklyn,Multifamily Housing,175604,1910,1,100,45.3,6,0.3,,5.361292166,
23,Manhattan,Multifamily Housing,99833,1925,1,100,100.3,7.2,0.8,,6.011267174,
64,Manhattan,Multifamily Housing,195000,1962,1,100,71,5.7,0,,2.128231706,
55,Manhattan,Multifamily Housing,50548,2007,1,100,67.7,6.7,0.5,5.5,4.776599302,1.704748092
99,Manhattan,Multifamily Housing,187098,1927,1,100,49.8,3.6,0,24.68,6.309372675,3.205993199
8,Manhattan,Multifamily Housing,67414,1913,1,100,84.4,12.9,0.4,28.61,4.9698133,3.353756307
74,Manhattan,Multifamily Housing,65750,1924,1,100,69.5,5.1,0.6,42.79,5.192956851,3.75630443
91,Manhattan,Multifamily Housing,141160,1929,1,100,64.2,5.3,0.5,20.01,5.836563586,2.996232149
53,Queens,Non-Refrigerated Warehouse,172884,1962,1,100,56,9.9,0.2,8.49,5.405825574,2.138889
56,Manhattan,Multifamily Housing,303950,1967,2,100,74.9,6.1,0,52.18,3.987130478,3.95469928
86,Manhattan,Office,530900,1953,1,100,66.5,12,0,29.51,3.899950424,3.384729189
58,Manhattan,K-12 School,85215,1929,1,100,56.8,14,0.1,32.14,3.701301974,3.47010136
69,Manhattan,Office,817095,1965,1,100,111.3,17.7,,44.94,,3.805328267
73,Manhattan,Office,649069,1923,1,100,75.1,19.3,0.1,31.88,5.6069044,3.461978854
70,Manhattan,Office,151552,1925,1,100,129.8,25.1,,45.06,,3.807994935
87,Manhattan,Office,743789,1958,1,100,77,13.3,,17.27,,2.848970892
87,Manhattan,Office,285213,1914,1,100,70.7,13.5,0,9.8,6.426650257,2.282382386
66,Manhattan,Office,701095,1969,1,100,120.8,16.1,0,21.37,3.856510295,3.061988069
76,Brooklyn,Office,290440,1928,1,100,85.5,15.4,,6.38,6.764462109,1.853168097
87,Manhattan,Office,1043906,1928,1,100,78.2,15,0,18.09,-0.693147181,2.895359299
